source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,total,loExp,loExpDiff,loCHI
S12000014,S12000035,41,8,6,7,-35,-33,-34,62,20.8,20.2,4.44
S12000014,S12000036,1932,637,2575,1242,643,-1295,-690,6386,2138.3,-206.3,-4.46
S12000014,S12000038,67,78,37,38,-30,11,-29,220,73.7,-6.7,-0.78
S12000014,S12000039,23,15,10,10,-13,-8,-13,58,19.4,3.6,0.81
S12000014,S12000040,1121,763,711,1058,-410,-358,-63,3653,1223.2,-102.2,-2.92
S12000014,S12000041,5,0,0,0,-5,-5,-5,5,1.7,3.3,2.57
S12000014,S12000042,30,16,17,29,-13,-14,-1,92,30.8,-0.8,-0.15
S12000014,S12000044,1038,769,312,752,-726,-269,-286,2871,961.3,76.7,2.47
S12000014,S12000045,113,61,65,74,-48,-52,-39,313,104.8,8.2,0.80
S12000014,S12000046,1001,428,1009,822,8,-573,-179,3260,1091.6,-90.6,-2.74
S12000015,S12000005,191,155,64,215,-127,-36,24,625,209.3,-18.3,-1.26
S12000015,S12000006,14,4,3,4,-11,-10,-10,25,8.4,5.6,1.95
S12000015,S12000008,3,4,0,3,-3,1,0,10,3.3,-0.3,-0.19
S12000015,S12000010,49,40,27,71,-22,-9,22,187,62.6,-13.6,-1.72
S12000015,S12000011,0,3,0,6,0,3,6,9,3.0,-3.0,-1.74
S12000015,S12000013,0,6,0,0,0,6,0,6,2.0,-2.0,-1.42
S12000015,S12000014,386,455,148,351,-238,69,-35,1340,448.7,-62.7,-2.96
S12000015,S12000015,34375,20368,13587,37493,-20788,-14007,3118,105823,35434.0,-1059.0,-5.63
S12000015,S12000017,80,17,11,13,-69,-63,-67,121,40.5,39.5,6.20
S12000015,S12000018,13,0,3,6,-10,-13,-7,22,7.4,5.6,2.08
S12000015,S12000019,87,132,87,83,0,45,-4,389,130.3,-43.3,-3.79
S12000015,S12000020,68,20,0,6,-68,-48,-62,94,31.5,36.5,6.51
S12000015,S12000021,0,8,0,8,0,8,8,16,5.4,-5.4,-2.31
S12000015,S12000024,1135,655,423,1032,-712,-480,-103,3245,1086.6,48.4,1.47
S12000015,S12000026,7,3,4,20,-3,-4,13,34,11.4,-4.4,-1.30
S12000015,S12000027,4,13,6,0,2,9,-4,23,7.7,-3.7,-1.33
S12000015,S12000028,6,0,4,9,-2,-6,3,19,6.4,-0.4,-0.14
S12000015,S12000029,53,82,26,39,-27,29,-14,200,67.0,-14.0,-1.71
S12000015,S12000030,272,146,160,239,-112,-126,-33,817,273.6,-1.6,-0.09
S12000015,S12000033,92,256,100,92,8,164,0,540,180.8,-88.8,-6.60
S12000015,S12000034,24,51,22,18,-2,27,-6,115,38.5,-14.5,-2.34
S12000015,S12000035,117,38,11,9,-106,-79,-108,175,58.6,58.4,7.63
S12000015,S12000036,4822,1535,5777,2933,955,-3287,-1889,15067,5045.1,-223.1,-3.14
S12000015,S12000038,34,22,14,20,-20,-12,-14,90,30.1,3.9,0.70
S12000015,S12000039,9,4,0,6,-9,-5,-3,19,6.4,2.6,1.05
S12000015,S12000040,491,474,498,414,7,-17,-77,1877,628.5,-137.5,-5.48
S12000015,S12000041,107,99,34,101,-73,-8,-6,341,114.2,-7.2,-0.67
S12000015,S12000042,1736,659,825,2011,-911,-1077,275,5231,1751.6,-15.6,-0.37
S12000015,S12000044,111,179,56,87,-55,68,-24,433,145.0,-34.0,-2.82
S12000015,S12000045,7,14,4,12,-3,7,5,37,12.4,-5.4,-1.53
S12000015,S12000046,234,155,258,178,24,-79,-56,825,276.2,-42.2,-2.54
S12000017,S12000005,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000017,S12000006,6,0,0,3,-6,-6,-3,9,3.0,3.0,1.72
S12000017,S12000010,0,4,0,0,0,4,0,4,1.3,-1.3,-1.16
S12000017,S12000011,3,0,0,3,-3,-3,0,6,2.0,1.0,0.70
S12000017,S12000013,25,9,4,9,-21,-16,-16,47,15.7,9.3,2.33
S12000017,S12000014,3,0,0,4,-3,-3,1,7,2.3,0.7,0.43
S12000017,S12000015,19,5,6,8,-13,-14,-11,38,12.7,6.3,1.76
S12000017,S12000017,30657,11835,9818,30232,-20839,-18822,-425,82542,27638.5,3018.5,18.16
S12000017,S12000018,9,0,0,0,-9,-9,-9,9,3.0,6.0,3.45
